from,to,letters saved,percentage of word saved,word precedence
thei,their,1,0.2,57
theref,therefore,3,0.3333333333333333,1302
thereb,thereby,1,0.14285714285714285,7089
therea,thereafter,4,0.4,9762
therei,therein,1,0.14285714285714285,10516
theret,thereto,1,0.14285714285714285,15322
therape,therapeutic,4,0.36363636363636365,6710
therapis,therapist,1,0.1111111111111111,9750
therapie,therapies,1,0.1111111111111111,11678
thera,therap,1,0.16666666666666666,
therma,thermal,1,0.14285714285714285,4756
thermo,thermometer,5,0.45454545454545453,16770
thesi,thesis,1,0.16666666666666666,5988
thesa,thesaurus,4,0.4444444444444444,7917
thess,thessalonians,8,0.6153846153846154,18381
thems,themselves,5,0.5,1744
thema,thematic,3,0.375,15718
thenc,thence,1,0.16666666666666666,17574
theoret,theoretical,4,0.36363636363636365,6018
theori,theories,2,0.25,6757
theologi,theological,3,0.2727272727272727,11862
theol,theolog,2,0.2857142857142857,
theod,theodore,3,0.375,13147
theatri,theatrical,3,0.3,11814
theate,theater,1,0.14285714285714285,2608
thea,theat,1,0.2,
thef,theft,1,0.2,5159
theh,thehun,2,0.3333333333333333,7254
thet,theta,1,0.2,9982
thanksg,thanksgiving,5,0.4166666666666667,8275
thankf,thankful,2,0.25,17119
thanke,thanked,1,0.14285714285714285,17309
thail,thailand,3,0.375,3188
tham,thames,2,0.3333333333333333,11246
thist,thistle,2,0.2857142857142857,16107
thisc,thiscategory,7,0.5833333333333334,17467
thinki,thinking,2,0.25,1971
thinkp,thinkpad,2,0.25,9194
thirte,thirteen,2,0.25,13144
thickn,thickness,3,0.3333333333333333,8196
thic,thick,1,0.2,4799
thiev,thieves,2,0.2857142857142857,16584
thig,thigh,1,0.2,16724
througho,throughout,2,0.2,1619
throughp,throughput,2,0.2,13200
throu,through,2,0.2857142857142857,165
throwi,throwing,2,0.25,9799
throa,throat,1,0.16666666666666666,4717
thron,throne,1,0.16666666666666666,12832
throt,throttle,3,0.375,16911
threes,threesome,3,0.3333333333333333,7144
threade,threaded,1,0.125,6425
threatene,threatened,1,0.1,7894
threateni,threatening,2,0.18181818181818182,9901
threate,threaten,1,0.125,13700
thres,threshold,4,0.4444444444444444,5818
thrus,thrust,1,0.16666666666666666,12571
thril,thrill,1,0.16666666666666666,14708
thric,thrice,1,0.16666666666666666,13099
thriv,thrive,1,0.16666666666666666,18548
thos,those,1,0.2,237
thoughtf,thoughtful,2,0.2,14492
thoug,though,1,0.16666666666666666,873
thous,thousand,3,0.375,4039
thoma,thomas,1,0.16666666666666666,1241
thomp,thompson,3,0.375,4529
thoms,thomson,2,0.2857142857142857,6566
thon,thong,1,0.2,7460
thoroughl,thoroughly,1,0.1,8397
thoro,thorough,3,0.375,9814
thorn,thornton,3,0.375,13670
thursd,thursday,2,0.25,1182
thur,thurs,1,0.2,15929
thumbn,thumbnail,3,0.3333333333333333,4741
thumbz,thumbzilla,4,0.4,7246
thum,thumb,1,0.2,7798
thunderb,thunderbird,3,0.2727272727272727,14360
thun,thunder,3,0.42857142857142855,8400
thyr,thyroid,3,0.42857142857142855,11994
topica,topical,1,0.14285714285714285,11027
topi,topic,1,0.2,523
topl,topless,3,0.42857142857142855,6952
topol,topology,3,0.375,12942
topog,topographic,6,0.5454545454545454,19452
toppe,topped,1,0.16666666666666666,15807
topa,topaz,1,0.2,15933
tope,topeka,2,0.3333333333333333,18154
toda,today,1,0.2,283
toddl,toddler,2,0.2857142857142857,8702
totall,totally,1,0.14285714285714285,3155
totali,totaling,2,0.25,19147
tota,total,1,0.2,314
toolba,toolbar,1,0.14285714285714285,5269
toolbo,toolbox,1,0.14285714285714285,7529
toolk,toolkit,2,0.2857142857142857,9754
toot,tooth,1,0.2,9413
toge,together,4,0.5,848
togg,toggle,2,0.3333333333333333,13575
townsh,township,2,0.25,5586
townse,townsend,2,0.25,14111
townh,townhouse,4,0.4444444444444444,17430
towa,toward,2,0.3333333333333333,2640
towi,towing,2,0.3333333333333333,13741
toyo,toyota,2,0.3333333333333333,4365
tourin,touring,1,0.14285714285714285,9317
tourn,tournament,5,0.5,3498
touchi,touching,2,0.25,11304
touchd,touchdown,3,0.3333333333333333,17652
touc,touch,1,0.2,2191
toug,tough,1,0.2,4923
toul,toulouse,4,0.5,18201
toleranc,tolerance,1,0.1111111111111111,7539
tolerat,tolerate,1,0.125,17962
toler,tolera,1,0.16666666666666666,
toled,toledo,1,0.16666666666666666,10643
tolk,tolkien,3,0.42857142857142855,18798
tomo,tomorrow,4,0.5,3564
tomm,tommy,1,0.2,6513
tomatoe,tomatoes,1,0.125,9005
toma,tomato,2,0.3333333333333333,9323
tomc,tomcat,2,0.3333333333333333,16257
tomt,tomtom,2,0.3333333333333333,18253
toro,toronto,3,0.42857142857142855,2607
tortu,torture,2,0.2857142857142857,5337
torren,torrent,1,0.14285714285714285,10773
torr,torre,1,0.2,
torq,torque,2,0.3333333333333333,11134
torna,tornado,2,0.2857142857142857,15099
torc,torch,1,0.2,12909
tora,torah,1,0.2,14693
torin,torino,1,0.16666666666666666,15780
tors,torso,1,0.2,18857
tonig,tonight,2,0.2857142857142857,3611
tongu,tongue,1,0.16666666666666666,6176
tonn,tonnes,2,0.3333333333333333,14358
tosh,toshiba,3,0.42857142857142855,3858
tosse,tossed,1,0.16666666666666666,18507
toky,tokyo,1,0.2,4864
tokel,tokelau,2,0.2857142857142857,15119
tobac,tobacco,2,0.2857142857142857,4920
tobag,tobago,1,0.16666666666666666,8429
toilett,toilette,1,0.125,16754
toi,toilet,3,0.5,6346
toxici,toxicity,2,0.25,10406
toxico,toxicology,4,0.4,16968
toxin,toxins,1,0.16666666666666666,19703
tox,toxi,1,0.25,
toaste,toaster,1,0.14285714285714285,17068
toa,toast,2,0.4,13156
timesh,timeshare,3,0.3333333333333333,15016
timest,timestamp,3,0.3333333333333333,16497
timelines,timeliness,1,0.1,19011
timeli,timeline,2,0.25,8167
timele,timeless,2,0.25,15040
timeo,timeout,2,0.2857142857142857,11072
timet,timetable,4,0.4444444444444444,12389
timez,timezone,3,0.375,18438
timi,timing,2,0.3333333333333333,5635
timberl,timberland,3,0.3,17152
timb,timber,2,0.3333333333333333,7171
timot,timothy,2,0.2857142857142857,7241
titl,title,1,0.2,377
titaniu,titanium,1,0.125,8518
tita,titan,1,0.2,11632
titt,titten,2,0.3333333333333333,5678
titu,titus,1,0.2,16616
ticketm,ticketmaster,5,0.4166666666666667,11141
tickl,tickling,3,0.375,13224
tickb,tickboxes,4,0.4444444444444444,17930
tipp,tipping,3,0.42857142857142855,18727
tightl,tightly,1,0.14285714285714285,12993
tigh,tight,1,0.2,3985
tige,tiger,1,0.2,4871
tiffa,tiffany,2,0.2857142857142857,4360
tif,tiff,1,0.25,13693
tiss,tissue,2,0.3333333333333333,4465
tiona,tional,1,0.16666666666666666,17862
tio,tion,1,0.25,4564
tir,tire,1,0.25,6586
tida,tidal,1,0.2,16264
tivol,tivoli,1,0.16666666666666666,15705
tibeta,tibetan,1,0.14285714285714285,12894
tib,tibet,2,0.4,12706
tiav,tiava,1,0.2,14717
tik,tiki,1,0.25,19136
twenti,twentieth,3,0.3333333333333333,12539
twen,twent,1,0.2,
twel,twelve,2,0.3333333333333333,5670
twea,tweak,1,0.2,19307
twee,tweed,1,0.2,19803
twic,twice,1,0.2,3690
twik,twiki,1,0.2,4665
twiste,twisted,1,0.14285714285714285,8496
twis,twist,1,0.2,7834
twil,twilight,4,0.5,10121
twiz,twiztid,3,0.42857142857142855,19398
twa,twain,2,0.4,10737
traveli,traveling,2,0.2222222222222222,6341
travelli,travelling,2,0.2,8668
traveloc,travelocity,3,0.2727272727272727,15982
travelod,travelodge,2,0.2,17809
traves,travesti,2,0.25,6730
traver,traverse,2,0.25,16277
travi,travis,1,0.16666666666666666,9586
traini,training,2,0.25,434
traile,trailer,1,0.14285714285714285,3902
traili,trailing,2,0.25,16755
trackb,trackback,3,0.3333333333333333,2916
tracki,tracking,2,0.25,3050
tracto,tractor,1,0.14285714285714285,9949
tracti,traction,2,0.25,14743
traci,tracing,2,0.2857142857142857,14227
tradem,trademark,3,0.3333333333333333,2905
traditionall,traditionally,1,0.07692307692307693,10522
traditiona,traditional,1,0.09090909090909091,1720
tradit,tradition,3,0.3333333333333333,4868
tradin,trading,1,0.14285714285714285,1877
transferre,transferred,1,0.09090909090909091,5723
transferri,transferring,2,0.16666666666666666,12934
transfera,transferable,3,0.25,19951
transfe,transfer,1,0.125,1336
transforma,transformation,4,0.2857142857142857,5602
transformi,transforming,2,0.16666666666666666,13087
